boss_name,instance_name,region,encounter_type,patch_number
The Thunderhold Elites,Crystalline Heights,Thunderhold,Strike,12.0
Forest's Entropy,Dissonant Forest,Resonant Gardens,Strike,12.0
The Coral Keeper,The Singing Pools,Azure Reef,Strike,12.0
Shockscale,Dragonslayer,Moonglow Ravine,Strike,12.0
The Forge of Stars,The Necrotic Wound,Diamondlight Basin,Strike,12.0
Eryth the Fractured Shoal,Windgrave,The Resonarium,Strike,12.1
The Seraphic Feedback,The Breach,Corallith,Strike,12.2
Thyssara the Sky Cantor,The Inverted Song,The Dissonant Scar,Strike,12.3
None Will Survive...,Lunar Lullabies,Fallenchime Abyss,Strike,12.4
Whirlwind of Devoured Sounds,Encore,The Drowned Sky,Strike,12.5
"Mirash, Discord's Heart",Coral Spire,Azure Reef,Incursion,12.0
"Xyraeth, Warden of the Broken Verse",Briskbreeze Temple,Diamondlight Basin,Incursion,12.0
Dissonant Chorus,Tomb of the Deafened,The Resonarium,Incursion,12.1
"Corvath, Discord's Voice",Brineveil,Echovale,Incursion,12.2
"Onyx, Discord's Will",Voidtide Tower,The Dissonant Scar,Incursion,12.3
"Vasriel, Discord's Mind",The First Verse,Fallenchime Abyss,Incursion,12.4
"Obrynth Unleashed, Dissonance Incarnate",The Final Song,The Drowned Sky,Incursion,12.5
